,datetime_submitted,grade,gender,ethnicity,tenure,scl_mission_cnct,scl_christ_centered,scl_happy,scl_speakup,scl_mission_diverse,scl_ldrshp,scl_celebr,scl_belong,scl_neg_bully,scl_getalong,scl_rules,scl_events,scl_discipline,scl_equipped,scl_learn,scl_cared,scl_chapel,scl_cultures,scl_rlmdls,comments,pdfs,total_amount,customer_id,ip_address,id,utm_source,utm_medium,utm_campaign,utm_term,utm_content,device_type
0,2020-09-11 21:24:06,9,0,b,2,1,1,1,1,5,2,3,4,4,1,2,1,1,3,1,1,3,4,1,I am a very unhappy person. Everyone at this school is dumb.,https://s3.amazonaws.com/pf-pdf-01/79525/2020-09-11/jb13ygb/DSa4qfxbSc7q3ozlSGN6/submission-results.pdf,0, -,98.169.34.10,5f5beaf6d3598014ac21893e,,,,,,desktop
1,2020-09-09 18:06:51,8,1,l,1,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,,https://s3.amazonaws.com/pf-pdf-01/79525/2020-09-11/jb13ygb/CP7g1yPOBEM9hr8oZMMI/submission-results.pdf,0, -,72.214.79.148,5f5919bb9592df2e570dae7b,,,,,,desktop
